"","Date","EURUSD","EURJPY","EURNZD","EURGBP","EURCHF","EURAUD","EURCAD","Index"
"1","2004.06.16",1.2011,132.2,1.9094,0.6571,1.5218,1.7553,1.649,98.8481183553712
"2","2004.06.17",1.2051,132.13,1.9366,0.6569,1.5083,1.7605,1.6522,99.0265133755151
"3","2004.06.18",1.2132,132.1,1.9354,0.6597,1.5103,1.7618,1.6534,99.2088102231433
"4","2004.06.20",1.2135,131.99,1.9346,0.6597,1.5093,1.7628,1.6544,99.2022678156319
"5","2004.06.21",1.2113,131.94,1.9266,0.6614,1.5107,1.7579,1.6538,99.1166701476712
"6","2004.06.22",1.2105,132.29,1.9271,0.6649,1.5131,1.7637,1.6437,99.2072704993159
"7","2004.06.23",1.2092,131.2,1.9367,0.6657,1.5141,1.7491,1.6446,99.061219902544
"8","2004.06.24",1.2169,130.36,1.9165,0.6668,1.5141,1.7339,1.6368,98.745923752801
"9","2004.06.25",1.2172,130.9,1.9143,0.6658,1.5187,1.7372,1.6428,98.8902056235999
"10","2004.06.27",1.2167,131.5,1.9126,0.6656,1.5196,1.743,1.6422,98.9820791444753
"11","2004.06.28",1.2184,130.74,1.9004,0.6684,1.5216,1.7405,1.6431,98.8981214388959
"12","2004.06.29",1.208,132.66,1.9144,0.67,1.5292,1.7544,1.6241,99.1401874742685
"13","2004.06.30",1.2198,131.8,1.9167,0.6682,1.5231,1.7422,1.6256,99.0203752051352
"14","2004.07.01",1.216,133.35,1.8969,0.6722,1.5192,1.7273,1.6204,98.8763081638252
"15","2004.07.02",1.2311,133.46,1.9014,0.6723,1.5193,1.7258,1.6299,99.1687510591254
"16","2004.07.04",1.2318,134.02,1.9008,0.6716,1.5175,1.7251,1.6304,99.198193932287
"17","2004.07.05",1.2289,134.47,1.8983,0.6668,1.5189,1.7179,1.6295,99.0364434917523
"18","2004.07.06",1.2282,134.38,1.8911,0.6665,1.5194,1.7161,1.6311,98.9629972776423
"19","2004.07.07",1.2372,134.98,1.8837,0.6695,1.5187,1.7146,1.6333,99.1412017232567
"20","2004.07.08",1.2384,134.25,1.8873,0.6672,1.5181,1.7165,1.6325,99.0585061948193
"21","2004.07.09",1.2409,133.99,1.8882,0.6668,1.5182,1.7185,1.6355,99.1012897485279
"22","2004.07.11",1.24115,134.32,1.8881,0.6662,1.5176,1.7116,1.6352,99.0602583880454
"23","2004.07.12",1.2407,133.93,1.8771,0.66365,1.5246,1.7041,1.6347,98.8777753624154
"24","2004.07.13",1.2326,135.14,1.8762,0.66701,1.5244,1.699,1.6252,98.8514385709452
"25","2004.07.14",1.23798,135.63,1.8975,0.6666,1.5216,1.7084,1.637,99.2653065773171
"26","2004.07.15",1.2353,135.27,1.8984,0.6642,1.5269,1.7104,1.6347,99.1976548032674
"27","2004.07.16",1.2446,135.32,1.8876,0.664,1.5256,1.6999,1.6321,99.1068974681746
"28","2004.07.18",1.24365,134.67,1.8853,0.6662,1.5255,1.6967,1.6287,99.0012740410446
"29","2004.07.19",1.2442,133.99,1.897,0.6653,1.5291,1.6987,1.627,99.038170311755
"30","2004.07.20",1.2329,134.58,1.8844,0.66575,1.5324,1.6948,1.6197,98.8222565826519
"31","2004.07.21",1.22588,134.54,1.9146,0.66475,1.5347,1.7188,1.6198,99.1566968524824
"32","2004.07.22",1.22565,133.17,1.9091,0.6597,1.5295,1.7133,1.6144,98.7207127882388
"33","2004.07.23",1.2085,133.27,1.9015,0.6598,1.5334,1.7036,1.5965,98.281398717063
"34","2004.07.25",1.2099,133.49,1.904,0.6595,1.5328,1.7053,1.5986,98.3591540483116
"35","2004.07.26",1.2141,133.74,1.9085,0.66185,1.535,1.705,1.6183,98.7040088556494
"36","2004.07.27",1.20565,134.59,1.9212,0.66049,1.5385,1.7194,1.6053,98.7998372912207
"37","2004.07.28",1.20549,134.88,1.9163,0.6629,1.5377,1.7268,1.6014,98.8647052830847
"38","2004.07.29",1.2045,133.8,1.9007,0.6601,1.5419,1.7219,1.5953,98.51158121739
"39","2004.07.30",1.20145,133.9,1.8859,0.6611,1.5398,1.7098,1.5994,98.3148696463748
"40","2004.08.01",1.2036,133.14,1.8875,0.65795,1.5364,1.7181,1.5995,98.2414978600899
"41","2004.08.02",1.20252,133.32,1.8787,0.66019,1.5376,1.7118,1.6021,98.2127951425755
"42","2004.08.03",1.206,133.89,1.8638,0.6601,1.5411,1.7114,1.5888,98.1183476674621
"43","2004.08.04",1.20505,134.78,1.8674,0.66091,1.5375,1.7107,1.5857,98.1790267638409
"44","2004.08.05",1.20521,135.61,1.8718,0.6664,1.5381,1.7166,1.5892,98.5026910621947
"45","2004.08.06",1.2275,135.61,1.8819,0.66595,1.5367,1.7196,1.6111,99.0255089983466
"46","2004.08.08",1.22845,135.74,1.8808,0.66645,1.5374,1.7153,1.6106,99.0197494679153
"47","2004.08.09",1.2272,136.19,1.8794,0.66965,1.538,1.7146,1.6168,99.1637283903363
"48","2004.08.10",1.22358,135.52,1.8745,0.66768,1.5435,1.7171,1.6159,99.0370428150494
"49","2004.08.11",1.2218,135.87,1.8651,0.6723,1.5412,1.7118,1.6185,99.0402959205326
"50","2004.08.12",1.225,136.94,1.8604,0.6708,1.5383,1.7245,1.6309,99.3072392921491
"51","2004.08.13",1.2369,136.475,1.8556,0.67085,1.5318,1.725,1.6194,99.2081673447159
"52","2004.08.15",1.23675,136.56,1.8612,0.6717,1.5335,1.7242,1.6186,99.2771761783557
"53","2004.08.16",1.23615,135.96,1.8589,0.67565,1.533,1.7203,1.6152,99.2089473416839
"54","2004.08.17",1.23535,134.87,1.8605,0.6763,1.5364,1.724,1.6153,99.1735572536755
"55","2004.08.18",1.2335,135.19,1.8564,0.6745,1.5361,1.725,1.6083,99.0627925375831
"56","2004.08.19",1.2363,134.38,1.8403,0.6764,1.5377,1.7075,1.6037,98.7639996680764
"57","2004.08.20",1.2315,134.42,1.8307,0.67605,1.5441,1.7014,1.5985,98.5994826359491
"58","2004.08.22",1.23115,133.33,1.8305,0.6713,1.5399,1.7025,1.5982,98.3442632848666
"59","2004.08.23",1.2142,132.43,1.8348,0.67401,1.5407,1.7054,1.5873,98.0798207129117
"60","2004.08.24",1.2081,133.12,1.8644,0.6725,1.5371,1.7078,1.5786,98.1780801027326
"61","2004.08.25",1.20816,132.72,1.8602,0.6735,1.5386,1.7117,1.5764,98.1547315004237
"62","2004.08.26",1.21011,131.73,1.8571,0.6704,1.54,1.7153,1.5821,98.0752156866455
"63","2004.08.27",1.2008,131.68,1.8379,0.67055,1.5432,1.7084,1.5766,97.749817753918
"64","2004.08.29",1.20125,132.36,1.8385,0.67088,1.5404,1.7184,1.5774,97.9014510166969
"65","2004.08.30",1.2047,132.98,1.8517,0.6758,1.5405,1.7203,1.5877,98.3139252320802
"66","2004.08.31",1.21821,133.48,1.8584,0.6796,1.5416,1.7273,1.5989,98.8185237326879
"67","2004.09.01",1.2188,133.25,1.8589,0.67975,1.5357,1.7397,1.5934,98.8083283601658
"68","2004.09.02",1.2174,133.18,1.8763,0.678,1.5349,1.7422,1.5819,98.7897867878819
"69","2004.09.03",1.2054,133.18,1.8655,0.6775,1.5334,1.7437,1.5673,98.4337406386393
"70","2004.09.05",1.2053,132.86,1.8636,0.6828,1.5318,1.7443,1.5669,98.4852199086866
"71","2004.09.06",1.20631,132.38,1.8568,0.682,1.5326,1.7376,1.5663,98.3263901834781
"72","2004.09.07",1.21078,133.17,1.8697,0.6837,1.5346,1.7523,1.5583,98.6648239626562
"73","2004.09.08",1.21819,133.94,1.8748,0.682,1.5358,1.7558,1.5715,98.9860450000075
"74","2004.09.09",1.22115,134.43,1.871,0.68145,1.5394,1.7733,1.5736,99.2286421892598
"75","2004.09.10",1.2258,134.27,1.8715,0.6823,1.543,1.7624,1.583,99.3117481193086
"76","2004.09.12",1.22615,134.88,1.8684,0.68153,1.5431,1.7583,1.5831,99.3088370477114
"77","2004.09.13",1.22611,134.33,1.8654,0.68365,1.5431,1.7528,1.5956,99.3350216710804
"78","2004.09.14",1.22542,133.66,1.8511,0.67929,1.5425,1.748,1.5846,98.9188346802232
"79","2004.09.15",1.21495,133.47,1.8489,0.6791,1.5427,1.7438,1.5749,98.6409451177853
"80","2004.09.16",1.21825,133.79,1.8448,0.67935,1.5465,1.7452,1.5721,98.711722901918
"81","2004.09.17",1.2183,133.84,1.8437,0.6816,1.5475,1.7453,1.5806,98.8404484814178
"82","2004.09.19",1.218,133.78,1.8433,0.6866,1.5453,1.7406,1.58,98.8705007877958
"83","2004.09.20",1.21756,135.26,1.8412,0.684,1.5494,1.7387,1.576,98.9388137845305
"84","2004.09.21",1.23352,135.67,1.858,0.6831,1.5464,1.7465,1.5879,99.4099175693165
"85","2004.09.22",1.22681,135.94,1.8504,0.6792,1.5453,1.7331,1.5727,98.9701622917287
"86","2004.09.23",1.2271,135.75,1.8417,0.67955,1.5476,1.7249,1.5702,98.8297150422805
"87","2004.09.24",1.227,135.7,1.8344,0.67943,1.5479,1.7168,1.5632,98.6434144324405
"88","2004.09.26",1.2277,136.79,1.8363,0.6798,1.5481,1.7244,1.5655,98.8726352664381
"89","2004.09.27",1.22921,137.26,1.8463,0.6853,1.5508,1.7196,1.5642,99.1057527720805
"90","2004.09.28",1.23261,136.71,1.8411,0.6862,1.552,1.7174,1.5674,99.0889343571168
"91","2004.09.29",1.23311,136.82,1.8401,0.6899,1.5535,1.7195,1.567,99.2064074049862
"92","2004.09.30",1.2433,137.19,1.8343,0.6888,1.5495,1.7118,1.5681,99.2065357867289
"93","2004.10.01",1.2411,137.21,1.8387,0.68859,1.5506,1.7086,1.5653,99.1707447447919
"94","2004.10.03",1.23925,136.35,1.8439,0.69069,1.5509,1.7121,1.5649,99.1699707411219
"95","2004.10.04",1.22876,136.81,1.8348,0.69041,1.5532,1.7014,1.5625,98.9360742940253
"96","2004.10.05",1.23111,136.79,1.8258,0.68921,1.5534,1.7,1.5527,98.7763804655046
"97","2004.10.06",1.22861,136.62,1.8186,0.691,1.5536,1.6959,1.5466,98.6309166596343
"98","2004.10.07",1.22836,135.85,1.8144,0.6913,1.5528,1.693,1.5485,98.507200954105
"99","2004.10.08",1.2404,135.93,1.8095,0.68858,1.552,1.6879,1.5525,98.5462846424761
"100","2004.10.10",1.24165,135.45,1.8145,0.6879,1.5511,1.6914,1.5529,98.556209069809
"101","2004.10.11",1.23871,135.2,1.8176,0.68817,1.5493,1.6858,1.5547,98.4763491277682
"102","2004.10.12",1.23268,135.5,1.8157,0.6893,1.5476,1.6879,1.5473,98.3863088326195
"103","2004.10.13",1.2346,135.85,1.8242,0.6905,1.5468,1.7027,1.5508,98.678260777364
"104","2004.10.14",1.23891,136.24,1.82,0.69075,1.5425,1.6981,1.5571,98.7197331006283
"105","2004.10.15",1.2462,136.26,1.8121,0.6947,1.5383,1.7045,1.5614,98.8839277831645
"106","2004.10.17",1.24695,136.5,1.8177,0.6937,1.5392,1.7066,1.5624,98.9718797708537
