"","EUR/USD","EUR/JPY","EUR/NZD","EUR/GBP","EUR/CHF","EUR/AUD","EUR/CAD"
"1",1.058675,117.758875,1.524337,0.854005,1.068395,1.412755,1.417126
"2",1.060095,117.039875,1.524878,0.852205,1.06853,1.41317,1.412709
"3",1.061105,116.25134,1.529466,0.84916,1.068315,1.41598,1.412936
"4",1.064545,116.068465,1.521083,0.849035,1.06847,1.40609,1.411044
"5",1.06183,115.61841,1.517496,0.84839,1.066925,1.402475,1.414756
"6",1.06126,115.284,1.51635,0.84728,1.06734,1.40055,1.414262
"7",1.06126,115.284,1.51635,0.84728,1.06734,1.40055,1.414262
"8",1.063255,115.320415,1.515008,0.84712,1.06748,1.40076,1.414086
"9",1.067135,116.13809,1.51993,0.84348,1.068645,1.411915,1.424514
"10",1.07207,116.5974,1.52635,0.836105,1.069115,1.42527,1.439238
"11",1.07343,117.078125,1.528254,0.838215,1.07019,1.428025,1.447064
"12",1.070845,116.92428,1.527869,0.836715,1.069215,1.421885,1.44389
"13",1.07266,117.016,1.525424,0.83736,1.06844,1.42206,1.447684
"14",1.07266,117.016,1.525424,0.83736,1.06844,1.42206,1.447684
"15",1.085785,119.47296,1.544886,0.84826,1.08063,1.43582,1.46341
"16",1.089135,120.245375,1.561719,0.85038,1.083445,1.44344,1.477368
"17",1.09108,121.442965,1.578724,0.850215,1.084395,1.45501,1.481812
"18",1.08947,121.21389,1.581601,0.84581,1.0826,1.45814,1.481603
"19",1.089125,121.257505,1.585116,0.842675,1.082075,1.457345,1.486525
"20",1.08962,121.506,1.587029,0.84138,1.08419,1.45506,1.48755
"21",1.08962,121.506,1.587029,0.84138,1.08419,1.45506,1.48755
"22",1.090065,121.749385,1.584063,0.843825,1.08484,1.45212,1.489399
"23",1.091215,122.290485,1.576786,0.845485,1.08521,1.44931,1.493508
"24",1.091865,122.550975,1.576325,0.84514,1.082445,1.45847,1.497771
"25",1.09223,123.136225,1.589808,0.8474,1.083615,1.47418,1.49985
"26",1.097945,123.495015,1.593453,0.84862,1.084145,1.483675,1.509126
"27",1.09989,123.967,1.58899,0.84731,1.08607,1.48238,1.501252
"28",1.09989,123.967,1.58899,0.84731,1.08607,1.48238,1.501252
"29",1.09574,123.589765,1.584264,0.84565,1.08808,1.48091,1.498732
"30",1.09049,123.96415,1.580191,0.84288,1.092875,1.482255,1.494533
"31",1.087875,123.948425,1.571881,0.840165,1.09577,1.476935,1.489752
